Date,Open,High,Low,Close,Adj Close,Volume
2022-02-01,38481.77,39115.13,38113.66,38743.27,38743.27,20288500328
2022-02-02,38743.71,38834.62,36832.73,36952.98,36952.98,19155189416
2022-02-03,36944.8,37154.6,36375.54,37154.6,37154.6,18591534769
2022-02-04,37149.27,41527.79,37093.63,41500.88,41500.88,29412210792
2022-02-05,41501.48,41847.16,41038.1,41441.16,41441.16,19652846215
2022-02-06,41441.12,42500.79,41244.91,42412.43,42412.43,16142097334
2022-02-07,42406.78,44401.86,41748.16,43840.29,43840.29,28641855926
2022-02-08,43854.65,45293.87,42807.84,44118.45,44118.45,33079398868
2022-02-09,44096.7,44727.8,43232.97,44338.8,44338.8,23245887300
2022-02-10,44347.8,45661.17,43402.81,43565.11,43565.11,32142048537
